,Title,ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
59,War for the Planet of the Apes,281338,7/11/17,7.1,6695,332207671,175000000,"['Adventure', 'Animation', 'Family']","[12, 16, 10751]",['Pixar'],2017,7,Adventure,Animation,Family,,
60,Avengers: Infinity War,299536,4/25/18,8.3,21599,2068223624,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","['Lucasfilm Ltd.', 'Bad Robot']",2018,4,Action,Adventure,Science Fiction,Fantasy,
61,Black Panther,284054,2/13/18,7.4,17209,1671713208,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","[28, 12, 878, 53]","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'DENTSU', 'The Kennedy/Marshall Company']",2018,2,Action,Adventure,Science Fiction,Thriller,
62,Jurassic World: Fallen Kingdom,351286,6/6/18,6.6,8811,1515047671,190000000,"['Action', 'Thriller']","[28, 53]","['Abu Dhabi Film Commission', 'Universal Pictures', 'China Film Co.', 'Original Film', 'Fuji Television Network', 'Québec Production Services Tax Credit', 'Colorado Office of Film, Television & Media', 'DENTSU', 'MRC', 'One Race']",2018,6,Action,Thriller,,,
63,Incredibles 2,260513,6/14/18,7.5,9845,1405403694,250000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2018,6,Action,Adventure,Science Fiction,,
64,Aquaman,297802,12/7/18,6.9,10352,1156730962,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']","[10751, 16, 12, 35]","['Illumination Entertainment', 'Universal Pictures']",2018,12,Family,Animation,Adventure,Comedy,
65,Bohemian Rhapsody,424694,10/24/18,8,13140,857611174,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","[16, 10751, 12, 18, 35]","['Pixar', 'Walt Disney Pictures']",2018,10,Animation,Family,Adventure,Drama,Comedy
66,Venom,335983,9/28/18,6.8,10643,682330139,150000000,"['Action', 'Adventure']","[28, 12]","['Paramount', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin', 'Skydance Media']",2018,9,Action,Adventure,,,
67,Mission: Impossible - Fallout,353081,7/13/18,7.4,5858,653428261,160000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Lionsgate', 'Color Force', 'Studio Babelsberg']",2018,7,Action,Adventure,Science Fiction,,
68,Deadpool 2,383498,5/10/18,7.5,13127,630161890,108000000,"['Drama', 'Adventure', 'Science Fiction']","[18, 12, 878]","['Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films', '20th Century Fox']",2018,5,Drama,Adventure,Science Fiction,,
69,Fantastic Beasts: The Crimes of Grindelwald,338952,11/14/18,6.9,8045,571006128,4000000,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",2018,11,Drama,Romance,Thriller,,
70,Ant-Man and the Wasp,363088,7/4/18,7,9708,543514353,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']","[10749, 14, 10751, 18]","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2018,7,Romance,Fantasy,Family,Drama,
71,Ready Player One,333339,3/28/18,7.6,11264,532950503,135000000,"['Western', 'Drama', 'Adventure']","[37, 18, 12]","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac-Dune Entertainment']",2018,3,Western,Drama,Adventure,,
72,Operation Red Sea,460555,2/16/18,6.7,120,519311965,130000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Marvel Studios'],2018,2,Science Fiction,Action,Adventure,,
73,The Meg,345940,8/9/18,6.2,5096,473990832,110000000,"['Action', 'Drama', 'Thriller']","[28, 18, 53]","['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",2018,8,Action,Drama,Thriller,,
74,Ralph Breaks the Internet,404368,11/20/18,7.2,5483,473226958,80000000,"['Family', 'Animation', 'Comedy', 'Fantasy']","[10751, 16, 35, 14]","['Sony Pictures', 'Columbia Pictures', 'Sony Pictures Animation']",2018,11,Family,Animation,Comedy,Fantasy,
75,The Grinch,360920,11/8/18,6.8,2541,440603537,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","[878, 28, 53, 12]","['Skydance Media', 'Paramount']",2018,11,Science Fiction,Action,Thriller,Adventure,
76,Bumblebee,424783,12/15/18,6.7,4340,378858340,150000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'Village Roadshow Pictures']",2018,12,Action,Adventure,Science Fiction,,
77,A Star Is Born,332562,10/3/18,7.5,9326,368871007,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']","[14, 35, 16, 878, 10751]",['DreamWorks Animation'],2018,10,Fantasy,Comedy,Animation,Science Fiction,Family
